2	Datatypes
2.1	Data Types In Java
2.2	Primtive Dataypes
2.2.1	Primitive Data Types In Java
2.2.2	Integer Data Types In Java
2.2.3	Floating Point Data Types In Java
2.2.4	Java Character
2.2.5	Boolean Data Type In Java
2.2.6	Literals
2.2.6.1	Java Literals
2.2.6.2	Integer Literals In Java
2.2.6.3	Floating Point Literals In Java
2.2.6.4	Character Literals In Java
2.2.6.5	String Literal In Java
2.2.6.6	Boolean Literals In Java

3	Variables
3.1	Java Variables
3.2	Scope Of Variables In Same Block
3.3	Type Conversion In Java
3.4	Type Casting In Java

4	Operators
4.1	Operators In Java
4.2	Java Arithmetic Operators
4.3	Basic Arithmetic Operators In Java
4.4	Increment And Decrement Operators In Java
4.5	Modulus Operator In Java
4.6	Arithmetic Compound Assignment Operators In Java
4.7	Relational Operators In Java
4.8	Boolean Logical Operators In Java
4.9	Short Circuit Logical Operators In Java
4.10	Assignment Operator In Java
4.11	Ternary Operator In Java
4.12	Java Operator Precedence And Associativity
4.13	Temperature Conversion Program In Java

5	Control Statements
5.1	Control Statements In Java
5.2	Selection Statements
5.2.1	Selection Statements In Java
5.2.2	if Condition In Java
5.2.3	Nested if Statements In Java
5.2.4	if else if ladder In Java
5.2.5	switch Statement In Java
5.2.6	if else Vs switch Performance In Java
5.2.7	Nested switch Statements In Java
5.2.8	Fall Through Switch Case Statements In Java
5.3	Blocks of code
5.3.1	Block Of Code In Java
5.3.2	Scope Of Variables In Nested/Multiple Blocks
5.3.3	Lifetime Of Variable In Java
5.3.4	Expressions, Statement, Line & Block In Java
5.4	Iteration statements (Loops)
5.4.1	Iteration Statements Or Loops In Java
5.4.2	while Loop In Java
5.4.3	for Loop In Java
5.4.4	for Vs while Loop In Java
5.4.5	do while Loop In Java
5.4.6	Nested Loops in Java
5.4.7	Nested While Loop In Java
5.4.8	Nested for Loop In Java
5.4.9	for Loop Example Program In Java - Sum Of Numbers
5.4.10	Factorial Program In Java Using for Loop
5.4.11	Factorial Program In Java Using While Loop
5.5	Jump Statements
5.5.1	Jump Statements In Java
5.5.2	Using Break In for Loop To Exit
5.5.3	Using break in switch case Statement
5.5.4	Using Java Break Statements as Java Goto
5.5.5	Using break In Nested Loop Java Program
5.5.6	Java continue Statement
5.5.7	Java return Statement
5.6	Java for loops vs Java while loops vs Java do while loops

6	Methods
6.1	Basic Java Methods
6.2	Java Methods
6.3	Java Methods - Parameter Passing And Scope
6.4	Java Program To Find Simple Interest Using Methods
6.5	Recursive In Java

7	Arrays
7.1	Java Array
7.2	Creation And Declaration Of Array In Java
7.3	Arraylist Access Using Index
7.4	Java Multidimensional Array
7.5	Java Array Initialization
7.6	Learn Arrays And Loops
7.7	Java Code To Print Student Details Using Arrays
7.8	For-each Loop In Core Java Programming
7.9	Command Line Arguments In Core Java Programming

8	Classes
8.1	Java Class
8.2	Java Classes and Java Objects
8.3	Java Objects References
