Id,Score,Body,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ViewCount,OK
13225,8,"<p>I've recently inherited a internationalized and text-heavy Struts 1.1 web application. Many of the JSP files look like:</p>

<pre class=""lang-jsp prettyprint-override""><code>&lt;p&gt;
    &lt;bean:message key=""alert"" /&gt;
&lt;/p&gt;
</code></pre>

<p>and the properties files look like:</p>

<pre><code>messages.properties
alert=Please update your &lt;a href=""/address.do""&gt;address&lt;/a&gt; and &lt;a href=""/contact.do""&gt;contact information&lt;/a&gt;.
</code></pre>

<p>with the appropriate translations in N other languages (messages_fr.properties, etc).</p>

<p>Problems:</p>

<ol>
<li><em><strong>DRY violation</strong></em> - I have N references to my Struts action URLs instead of 1, which makes refactoring action URLs error-prone.</li>
<li><em><strong>Mixed concerns</strong></em> - My application's markup is now in more than just my JSP files, making it difficult for a web specialist to tweak the markup (using CSS, etc).</li>
<li><em><strong>Post-translation markup</strong></em> - Anytime I receive newly-translated text, I must decide what to surround with the <code>&lt;a&gt;...&lt;/a&gt;</code> markup. Easy for English but less so for unfamiliar languages.</li>
</ol>

<p>I've considered adding placeholders in the messages file, like:</p>

<pre><code>alert=Please update your {0} and {1}.
</code></pre>

<p>but then the words ""address"" and ""contact information"" would somehow need to be localized, wrapped with markup, and passed to my message tag - and I can't see an easy way to do it.</p>

<p>What can I do to improve this?</p>
",How can I refactor HTML markup out of my property files?,<java><jsp><internationalization><struts>,4,0,,2078,0
24991,19,"<p>I have defined a Java function:</p>

<pre><code>static &lt;T&gt; List&lt;T&gt; createEmptyList() {
    return new ArrayList&lt;T&gt;();
}
</code></pre>

<p>One way to call it is like so:</p>

<pre><code>List&lt;Integer&gt; myList = createEmptyList(); // Compiles
</code></pre>

<p>Why can't I call it by explicitly passing the generic type argument? :</p>

<pre><code>Object myObject = createEmtpyList&lt;Integer&gt;(); // Doesn't compile. Why?
</code></pre>

<p>I get the error <code>Illegal start of expression</code> from the compiler.</p>
",Why can't I explicitly pass the type argument to a generic Java method?,<java><generics><syntax>,4,1,6,21171,1
24866,11,"<p>I am using Java back end for creating an XML string which is passed to the browser. Currently I am using simple string manipulation to produce this XML. Is it essential that I use some XML library in Java to produce the XML string?
I find the libraries very difficult to use compared to what I need.</p>
",Is it essential that I use libraries to manipulate XML?,<java><xml>,11,0,,690,0
25449,29,"<p>I want to create a Java program that can be extended with plugins. How can I do that and where should I look for?</p>

<p>I have a set of interfaces that the plugin must implement, and it should be in a jar. The program should watch for new jars in a relative (to the program) folder and registered them somehow.</p>

<hr>

<p>Although I do like Eclipse RCP, I think it's too much for my simple needs.</p>

<p>Same thing goes for Spring, but since I was going to look at it anyway, I might as well try it.</p>

<p>But still, I'd prefer to find a way to create my own plugin ""framework"" as simple as possible.</p>
",How to create a pluginable Java program?,<java><plugins><plugin-architecture>,6,1,18,17544,1
26305,151,"<p>I want to be able to play sound files in my program. Where should I look?</p>
",How can I play sound in Java?,<java><audio>,9,1,57,262318,1
40545683,8,"<p>I have just encountered an error in my opensrc library code that allocates a large buffer for making modifications to a large flac file, the error only occurs on an old PC machine with 3Gb of memory using Java 1.8.0_74 25.74-b02 32bit  </p>

<p>Originally I used to just allocate a buffer</p>

<pre><code>ByteBuffer audioData = ByteBuffer.allocateDirect((int)(fc.size() - fc.position()));
</code></pre>

<p>But for some time I have it as    </p>

<pre><code>MappedByteBuffer mappedFile = fc.map(MapMode.READ_WRITE, 0, totalTargetSize);
</code></pre>

<p>My (mis)understanding was that mapped buffers use less memory that a direct buffer because the whole mapped buffer doesnt have to be in memory at the same time only the part being used. But this answer says that using mapped byte buffers is a bad idea so Im not qwuite clear how it works</p>

<p><a href=""https://stackoverflow.com/questions/23132009/java-large-file-upload-throws-java-io-ioexception-map-failed"">Java Large File Upload throws java.io.IOException: Map failed</a></p>

<p>The full code can be seen at <a href=""https://bitbucket.org/ijabz/jaudiotagger/src/3424479cbee751bfff345c6eae91d2a09a497220/src/org/jaudiotagger/audio/flac/FlacTagWriter.java?at=master&amp;fileviewer=file-view-default"" rel=""nofollow noreferrer"">here</a></p>
",How do I avoid mapFailed() error when writing to large file on system with limited memory,<java><mappedbytebuffer>,2,11,1,134,0
16192410,11,"<p>I have a java program, when i log in, after ~600,000 milliseconds (i actually tried several times, and its always ~600,000, thats why i think theres somewhere set up a timeout for 600,000 miliseconds) my database connection crashes and my program no longer works (it always needs to be connected to database). It gives me <code>Communication link failure</code> error. I Here are my mysql connection settings:</p>

<pre><code>import java.sql.*;
import javax.swing.*;
public class mysqlconnect {
    Connection conn = null;
    public static Connection ConnectDb()    {
        try{
            Class.forName(""com.mysql.jdbc.Driver"");
            Connection conn = DriverManager.getConnection(""jdbc:mysql://server_name/database_name"",""user_name"",""user_password"");
            return conn;
        }catch (Exception e) {
            JOptionPane.showMessageDialog(null, ""Cant connect to db"");
            return null;
        }
    }
}
</code></pre>

<p>I tried adding <code>?autoReconnect=true</code> &amp; <code>tcpKeepAlive</code> to my code, but no luck. Is there any way to go to phpmyadmin and change some setting there (increase the timeout time)? </p>
",How can i see / change MySQL connection timeout settings?,<java><mysql>,3,0,3,34848,0
43802,60,"<p>I have a <code>String</code> representation of a date that I need to create a <code>Date</code> or <code>Calendar</code> object from. I've looked through <code>Date</code> and <code>Calendar</code> APIs but haven't found anything that can do this other than creating my own ugly parse method. I know there must be a way, does anyone know of a solution?</p>
",How to convert a date String to a Date or Calendar object?,<java><date><calendar>,5,1,19,115813,1
8110975,19,"<p>I'm trying to paint a rectangle on my application in a red shade but I need to make it sort of transparent so that the component under it will still show.  However I still want that some colour will still show. The method where I'm drawing is the following:</p>

<pre><code>protected void paintComponent(Graphics g) {
    if (point != null) {
        int value = this.chooseColour(); // used to return how bright the red is needed

        if(value !=0){
            Color myColour = new Color(255, value,value );
            g.setColor(myColour);
            g.fillRect(point.x, point.y, this.width, this.height);
        }
        else{
            Color myColour = new Color(value, 0,0 );
            g.setColor(myColour);
            g.fillRect(point.x, point.y, this.width, this.height);
        }
    }
}
</code></pre>

<p>Does anyone know how I can make the red shade a bit transparent?  I don't need it completely transparent though.</p>
",How to make a rectangle in Graphics in a transparent colour?,<java><swing><colors><paintcomponent><translucency>,2,0,1,34897,0
47177,137,"<p>I would like to monitor the following system information in Java:</p>

<ul>
<li>Current CPU usage** (percent)</li>
<li>Available memory* (free/total)</li>
<li><p>Available disk space (free/total)</p>

<p>*Note that I mean overall memory available to the whole system, not just the JVM.</p></li>
</ul>

<p>I'm looking for a cross-platform solution (Linux, Mac, and Windows) that doesn't rely on my own code calling external programs or using JNI. Although these are viable options, I would prefer not to maintain OS-specific code myself if someone already has a better solution.</p>

<p>If there's a free library out there that does this in a reliable, cross-platform manner, that would be great (even if it makes external calls or uses native code itself).</p>

<p>Any suggestions are much appreciated.</p>

<p>To clarify, I would like to get the current CPU usage for the whole system, not just the Java process(es).</p>

<p>The SIGAR API provides all the functionality I'm looking for in one package, so it's the best answer to my question so far. However, due it being licensed under the GPL, I cannot use it for my original purpose (a closed source, commercial product). It's possible that Hyperic may license SIGAR for commercial use, but I haven't looked into it. For my GPL projects, I will definitely consider SIGAR in the future.</p>

<p>For my current needs, I'm leaning towards the following:</p>

<ul>
<li>For CPU usage, <code>OperatingSystemMXBean.getSystemLoadAverage() / OperatingSystemMXBean.getAvailableProcessors()</code> (load average per cpu)</li>
<li>For memory, <code>OperatingSystemMXBean.getTotalPhysicalMemorySize()</code> and <code>OperatingSystemMXBean.getFreePhysicalMemorySize()</code></li>
<li>For disk space, <code>File.getTotalSpace()</code> and <code>File.getUsableSpace()</code></li>
</ul>

<p>Limitations:</p>

<p>The <code>getSystemLoadAverage()</code> and disk space querying methods are only available under Java 6. Also, some JMX functionality may not be available to all platforms (i.e. it's been reported that <code>getSystemLoadAverage()</code> returns -1 on Windows).</p>

<p>Although originally licensed under GPL, it <a href=""http://forums.hyperic.com/jiveforums/thread.jspa?threadID=11426&amp;tstart=0"" rel=""nofollow noreferrer"">has been changed</a> to <a href=""http://support.hyperic.com/display/SIGAR/Home#Home-license"" rel=""nofollow noreferrer"">Apache 2.0</a>, which can generally be used for closed source, commercial products.</p>
","How do I monitor the computer's CPU, memory, and disk usage in Java?",<java><memory><cross-platform><cpu><diskspace>,10,4,87,202224,1
